date,opponent,where,byu_score,opponent_score,result
"Sat., Aug. 201:00 PM MDT",BYU,home,NA,NA,N
"Fri., Aug. 2612:00 PM MDT",Rider,home,3,0,W
"Fri., Aug. 267:00 PM MDT",Duke,home,3,1,W
"Sat., Aug. 277:00 PM MDT",Washington State,home,3,0,W
"Thu., Sep. 17:00 PM MDT",Utah State,home,3,0,W
"Fri., Sep. 27:00 PM MDT",Cincinnati,home,3,1,W
"Sat., Sep. 37:00 PM MDT",No. 10 Pitt,home,1,3,L
"Thu., Sep. 87:00 PM MDT",No. 5 Georgia Tech,away,0,3,L
"Fri., Sep. 97:00 PM MDT",No. 8 Ohio State,home,0,3,L
"Thu., Sep. 157:00 PM MDT",Utah,away,3,1,W
"Sat., Sep. 176:00 PM MDT",Utah Valley,home,3,0,W
"Thu., Sep. 227:00 PM MDT",Loyola Marymount,home,3,0,W
"Sat., Sep. 241:00 PM MDT",No. 17 Pepperdine,home,3,1,W
"Thu., Sep. 296:00 PM MDT",Portland,away,3,0,W
"Sat., Oct. 112:00 PM MDT",Gonzaga,away,3,1,W
"Thu., Oct. 67:00 PM MDT",Santa Clara,home,3,0,W
"Sat., Oct. 81:00 PM MDT",San Francisco,home,3,0,W
"Thu., Oct. 137:00 PM MDT",Saint Mary's,away,3,0,W
"Sat., Oct. 1512:00 PM MDT",Pacific,away,2,3,L
"Fri., Oct. 217:00 PM MDT",No. 4 San Diego,away,0,3,L
"Thu., Oct. 277:00 PM MDT",Gonzaga,home,3,0,W
"Sat., Oct. 291:00 PM MDT",Portland,home,3,0,W
"Thu., Nov. 37:00 PM MDT",San Francisco,away,3,1,W
"Sat., Nov. 51:00 PM MDT",Santa Clara,away,3,0,W
"Thu., Nov. 107:00 PM MST",Pacific,home,NA,NA,P
"Sat., Nov. 121:00 PM MST",Saint Mary's,home,3,0,W
"Thu., Nov. 177:00 PM MST",Pepperdine,away,3,0,W
"Sat., Nov. 191:00 PM MST",Loyola Marymount,away,3,1,W
"Tue., Nov. 228:00 PM MST",No. 2 San Diego,home,1,3,L
"Fri., Dec. 24:00 PM MST",James Madison,home,3,0,W
"Sat., Dec. 37:00 PM MST",No. 2 seed Pitt,away,0,3,L
