Festival_Name,Year,Attendance
Indie Music Fest,2022,5200
Indie Music Fest,2023,5400
Jazz in the Park,2022,8500
Jazz in the Park,2023,9000
Film Fiesta,2021,7300
Film Fiesta,2022,7500
Rock Revolution,2021,11500
Rock Revolution,2023,12500
CineIndie Expo,2023,3200
Folk & Indie Jam,2022,4700
Urban Film Fest,2021,6800
Urban Film Fest,2022,7000
Indie Arts Carnival,2023,4100
Electro Indie Night,2022,5700
Vintage Film Revival,2023,2100
Indie Rock Summit,2021,6000
Film Noir Indie,2023,7800
Jazz Fusion Extravaganza,2022,8200
Rock & Roll Indie Bash,2023,13000
Indie Arts Carnival,2022,4000
Electronic Arts Festival,2022,6000
Electronic Arts Festival,2023,6500
Global Indie Summit,2023,4800
Street Film Carnival,2022,5300
Urban Beats Festival,2023,7100
Midnight Indie Marathon,2022,4000
